Feature,Coefficient,Abs_Coefficient,Odds_Ratio,Percentage_Change,Z_Score,P_Value,Significance
num__Net_Salary_Per_Cutoff,-0.4002008702164447,0.4002008702164447,0.6701854122253189,-32.981458777468106,-89.48763504585412,0.0,***
num__Number_of_Dependents,0.28787125986104567,0.28787125986104567,1.3335856070751084,33.35856070751084,64.36997058178048,0.0,***
ordinal_Paluwagan_Participation__Paluwagan_Participation,-0.27692047587787233,0.27692047587787233,0.7581147831259805,-24.188521687401952,-61.92130084245132,0.0,***
num__Employment_Tenure_Months,-0.2378805643109614,0.2378805643109614,0.7882968362473171,-21.170316375268293,-53.19171123253201,0.0,***
ordinal_Comaker_Relationship__Comaker_Relationship,-0.16107517333873528,0.16107517333873528,0.8512280790452058,-14.877192095479419,-36.01750370729738,0.0,***
num__Comaker_Employment_Tenure_Months,-0.06336615230354323,0.06336615230354323,0.9385997403065703,-6.140025969342966,-14.169102402332753,0.0,***
ordinal_Has_Community_Role__Has_Community_Role,-0.051148339640569154,0.051148339640569154,0.950137716990757,-4.9862283009243,-11.437116437255979,0.0,***
nom__Employment_Sector_Public,-0.045021197081243386,0.045021197081243386,0.9559772176915801,-4.402278230841993,-10.067045710207532,0.0,***
nom__Housing_Status_Rented,0.04285153302512191,0.04285153302512191,1.0437829160543046,4.378291605430462,9.581894078424979,0.0,***
nom__Household_Head_Yes,0.020364287933978993,0.020364287933978993,1.0205730547666434,2.0573054766643395,4.553593213375577,5.2737287723481074e-06,***
num__Years_at_Current_Address,-0.018658599717587366,0.018658599717587366,0.9815143943409455,-1.848560565905455,-4.172189733348373,3.0168625324789033e-05,***
ordinal_Disaster_Preparedness__Disaster_Preparedness,-0.011286454813041096,0.011286454813041096,0.9887769982735944,-1.1223001726405557,-2.523728018693957,0.011611772838869605,*
num__Comaker_Net_Salary_Per_Cutoff,0.011114809941556501,0.011114809941556501,1.0111768089309874,1.117680893098738,2.48534705863108,0.01294251872009533,*
ordinal_Other_Income_Source__Other_Income_Source,0.005445129866979905,0.005445129866979905,1.0054599815307905,0.5459981530790525,1.2175680528881454,0.2233881608641317,
ordinal_Salary_Frequency__Salary_Frequency,0.004535328031981493,0.004535328031981493,1.004545628197817,0.4545628197816898,1.0141301779770957,0.3105206397961755,
